Activity,Timestamp,Value
Clean Cycle Complete,9/10 1:17 am,-
Clean Cycle In Progress,9/10 1:15 am,-
Cat Detected,9/10 1:08 am,-
Clean Cycle Complete,9/9 4:16 pm,-
Clean Cycle In Progress,9/9 4:13 pm,-
Weight Recorded,9/9 4:07 pm,14.4 lbs
Weight Recorded,9/9 4:00 pm,10.6 lbs
Cat Detected,9/9 3:59 pm,-
Weight Recorded,9/9 10:17 am,14.4 lbs
Cat Detected,9/9 10:16 am,-
Clean Cycle Complete,9/8 11:14 pm,-
Clean Cycle In Progress,9/8 11:12 pm,-
Weight Recorded,9/8 11:05 pm,14.5 lbs
Cat Detected,9/8 11:04 pm,-
Clean Cycle Complete,9/8 2:30 pm,-
Clean Cycle In Progress,9/8 2:27 pm,-
Weight Recorded,9/8 2:20 pm,14.5 lbs
Cat Detected,9/8 2:19 pm,-
Clean Cycle Complete,9/8 12:20 pm,-
Clean Cycle In Progress,9/8 12:17 pm,-
Weight Recorded,9/8 12:10 pm,10.5 lbs
Cat Detected,9/8 12:10 pm,-
Clean Cycle Complete,9/8 10:53 am,-
Clean Cycle In Progress,9/8 10:51 am,-
Weight Recorded,9/8 10:44 am,14.5 lbs
Cat Detected,9/8 10:43 am,-
Clean Cycle Complete,9/7 8:59 pm,-
Clean Cycle In Progress,9/7 8:57 pm,-
Weight Recorded,9/7 8:45 pm,14.4 lbs
Cat Detected,9/7 8:44 pm,-
Clean Cycle Complete,9/7 6:58 pm,-
Clean Cycle In Progress,9/7 6:55 pm,-
Weight Recorded,9/7 6:47 pm,14.5 lbs
Cat Detected,9/7 6:46 pm,-
Clean Cycle Complete,9/7 12:37 pm,-
Clean Cycle In Progress,9/7 12:34 pm,-
Weight Recorded,9/7 12:27 pm,14.4 lbs
Clean Cycle In Progress,9/7 12:14 pm,-
Weight Recorded,9/7 12:07 pm,18.4 lbs
Cat Detected,9/7 12:07 pm,-
Clean Cycle Complete,9/7 1:05 am,-
Clean Cycle In Progress,9/7 1:02 am,-
Weight Recorded,9/7 12:55 am,10.6 lbs
Weight Recorded,9/7 12:47 am,14.4 lbs
Cat Detected,9/7 12:46 am,-
Clean Cycle Complete,9/6 11:55 pm,-
Clean Cycle In Progress,9/6 11:53 pm,-
Clean Cycle In Progress,9/6 12:41 pm,-
Weight Recorded,9/6 12:34 pm,10.6 lbs
Cat Detected,9/6 12:33 pm,-
Clean Cycle In Progress,9/6 12:12 pm,-
Weight Recorded,9/6 12:05 pm,18.4 lbs
Cat Detected,9/6 12:04 pm,-
Clean Cycle Complete,9/6 11:08 am,-
Clean Cycle In Progress,9/6 11:06 am,-
Weight Recorded,9/6 10:59 am,14.5 lbs
Clean Cycle Complete,9/6 1:29 am,-
Clean Cycle In Progress,9/6 1:27 am,-
Weight Recorded,9/6 1:20 am,10.6 lbs
Cat Detected,9/6 1:19 am,-
Clean Cycle Complete,9/5 7:41 pm,-
Clean Cycle In Progress,9/5 7:38 pm,-
Weight Recorded,9/5 7:31 pm,14.6 lbs
Cat Detected,9/5 7:29 pm,-
Clean Cycle In Progress,9/5 12:23 pm,-
Clean Cycle Complete,9/5 10:57 am,-
Cat Detected,9/5 10:47 am,-
Clean Cycle Complete,9/5 12:28 am,-
Clean Cycle In Progress,9/5 12:26 am,-
Weight Recorded,9/5 12:19 am,14.6 lbs
Cat Detected,9/5 12:18 am,-
Clean Cycle Complete,9/4 4:03 pm,-
Clean Cycle In Progress,9/4 4:01 pm,-
Weight Recorded,9/4 3:53 pm,14.5 lbs
Cat Detected,9/4 3:52 pm,-
Clean Cycle Complete,9/4 3:25 pm,-
Cycle Interrupted,9/4 3:24 pm,-
Clean Cycle In Progress,9/4 3:22 pm,-
Weight Recorded,9/4 3:15 pm,10.4 lbs
Cat Detected,9/4 3:14 pm,-
Weight Recorded,9/4 11:53 am,14.5 lbs
Cat Detected,9/4 11:52 am,-
Clean Cycle In Progress,9/4 11:43 am,-
Weight Recorded,9/4 11:36 am,18.4 lbs
Cat Detected,9/4 11:35 am,-
Clean Cycle Complete,9/3 3:45 pm,-
Clean Cycle In Progress,9/3 3:43 pm,-
Weight Recorded,9/3 3:36 pm,10.5 lbs
Cat Detected,9/3 3:35 pm,-
Clean Cycle In Progress,9/3 11:05 am,-
Weight Recorded,9/3 10:58 am,14.5 lbs
Cat Detected,9/3 10:57 am,-
Clean Cycle Complete,9/3 7:13 am,-
Clean Cycle In Progress,9/3 7:11 am,-
Weight Recorded,9/3 7:04 am,10.6 lbs
Cat Detected,9/3 7:03 am,-
Clean Cycle Complete,9/3 1:33 am,-
Cycle Interrupted,9/3 1:26 am,-
Clean Cycle Complete,9/2 1:20 pm,-
Clean Cycle In Progress,9/2 1:17 pm,-
Weight Recorded,9/2 1:10 pm,10.4 lbs
Cat Detected,9/2 1:10 pm,-
Clean Cycle Complete,9/2 11:31 am,-
Clean Cycle In Progress,9/2 11:29 am,-
Weight Recorded,9/2 11:22 am,14.6 lbs
Cat Detected,9/2 11:20 am,-
Clean Cycle Complete,9/2 1:25 am,-
Clean Cycle In Progress,9/2 1:23 am,-
Weight Recorded,9/2 1:16 am,14.6 lbs
Cat Detected,9/2 1:15 am,-
Clean Cycle Complete,9/1 2:24 pm,-
Clean Cycle In Progress,9/1 2:22 pm,-
Cat Detected,9/1 2:14 pm,-
Clean Cycle Complete,9/1 9:45 am,-
Clean Cycle In Progress,9/1 9:43 am,-
Weight Recorded,9/1 9:36 am,14.5 lbs
Cat Detected,9/1 9:34 am,-
Clean Cycle Complete,9/1 2:07 am,-
Clean Cycle In Progress,9/1 2:05 am,-
Weight Recorded,9/1 1:58 am,14.5 lbs
Cat Detected,9/1 1:57 am,-
Clean Cycle Complete,8/31 9:20 pm,-
Clean Cycle In Progress,8/31 9:17 pm,-
Clean Cycle Complete,8/31 5:04 pm,-
Clean Cycle In Progress,8/31 5:02 pm,-
Weight Recorded,8/31 4:55 pm,10.4 lbs
Cat Detected,8/31 4:55 pm,-
Clean Cycle Complete,8/31 11:13 am,-
Clean Cycle In Progress,8/31 11:11 am,-
Weight Recorded,8/31 11:04 am,14.6 lbs
Cat Detected,8/31 11:01 am,-
Clean Cycle Complete,8/31 3:13 am,-
Clean Cycle In Progress,8/31 3:11 am,-
Weight Recorded,8/31 3:04 am,10.4 lbs
Cat Detected,8/31 3:03 am,-
Clean Cycle Complete,8/31 12:09 am,-
Clean Cycle In Progress,8/31 12:06 am,-
Weight Recorded,8/30 11:59 pm,14.3 lbs
Cat Detected,8/30 11:58 pm,-
Clean Cycle Complete,8/30 4:42 pm,-
Clean Cycle In Progress,8/30 4:40 pm,-
Cat Detected,8/30 4:33 pm,-
Clean Cycle In Progress,8/30 12:37 pm,-
Weight Recorded,8/30 12:30 pm,14.4 lbs
Cat Detected,8/30 12:29 pm,-
Clean Cycle In Progress,8/30 11:19 am,-
Weight Recorded,8/30 11:12 am,10.5 lbs
Cat Detected,8/30 11:11 am,-
Clean Cycle Complete,8/30 3:02 am,-
Clean Cycle In Progress,8/30 3:00 am,-
Weight Recorded,8/30 2:53 am,18.2 lbs
Cat Detected,8/30 2:52 am,-
Clean Cycle Complete,8/30 2:28 am,-
Clean Cycle In Progress,8/30 2:25 am,-
Weight Recorded,8/30 2:18 am,10.4 lbs
Weight Recorded,8/30 2:16 am,18.6 lbs
Cat Detected,8/30 2:14 am,-
Clean Cycle Complete,8/29 10:57 am,-
Weight Recorded,8/29 10:47 am,14.2 lbs
Cat Detected,8/29 10:47 am,-
Clean Cycle Complete,8/29 1:36 am,-
Clean Cycle In Progress,8/29 1:33 am,-
Weight Recorded,8/29 1:27 am,10.5 lbs
Cat Detected,8/29 1:26 am,-
Clean Cycle Complete,8/28 10:59 pm,-
Clean Cycle In Progress,8/28 10:57 pm,-
Weight Recorded,8/28 10:50 pm,14.3 lbs
Cat Detected,8/28 10:49 pm,-
Clean Cycle Complete,8/28 3:13 pm,-
Clean Cycle In Progress,8/28 3:11 pm,-
Weight Recorded,8/28 3:04 pm,10.5 lbs
Clean Cycle Complete,8/27 2:59 pm,-
Clean Cycle In Progress,8/27 2:57 pm,-
Weight Recorded,8/27 2:50 pm,14.4 lbs
Cat Detected,8/27 2:49 pm,-
Clean Cycle Complete,8/27 11:22 am,-
Clean Cycle In Progress,8/27 11:20 am,-
Weight Recorded,8/27 11:13 am,14.4 lbs
Cat Detected,8/27 11:12 am,-
Clean Cycle Complete,8/27 2:53 am,-
Clean Cycle In Progress,8/27 2:51 am,-
Weight Recorded,8/27 2:44 am,14.6 lbs
Cat Detected,8/27 2:43 am,-
Clean Cycle Complete,8/26 11:52 pm,-
Clean Cycle In Progress,8/26 11:50 pm,-
Weight Recorded,8/26 11:43 pm,10.6 lbs
Cat Detected,8/26 11:42 pm,-
Clean Cycle Complete,8/26 4:07 pm,-
Clean Cycle In Progress,8/26 4:05 pm,-
Weight Recorded,8/26 3:56 pm,13.6 lbs
Weight Recorded,8/26 3:55 pm,14.6 lbs
Cat Detected,8/26 3:54 pm,-
Clean Cycle In Progress,8/26 11:43 am,-
Weight Recorded,8/26 11:36 am,10.5 lbs
Cat Detected,8/26 11:35 am,-
Clean Cycle Complete,8/26 10:42 am,-
