Activity,Timestamp,Value
Clean Cycle Complete,12/1 1:24 pm,-
Clean Cycle In Progress,12/1 1:22 pm,-
Weight recorded,12/1 1:15 pm,15.0 lbs
Cat detected,12/1 1:15 pm,-
Clean Cycle Complete,12/1 12:04 pm,-
Clean Cycle In Progress,12/1 12:02 pm,-
Weight recorded,12/1 11:55 am,10.2 lbs
Cat detected,12/1 11:54 am,-
Clean Cycle Complete,12/1 11:54 am,-
Clean Cycle In Progress,12/1 11:51 am,-
Weight recorded,12/1 11:44 am,10.4 lbs
Cat detected,12/1 11:43 am,-
Clean Cycle Complete,12/1 10:09 am,-
Clean Cycle In Progress,12/1 10:07 am,-
Weight recorded,12/1 10:00 am,19.1 lbs
Cat detected,12/1 10:00 am,-
Clean Cycle Complete,11/30 12:49 pm,-
Clean Cycle In Progress,11/30 12:47 pm,-
Cat detected,11/30 12:40 pm,-
Clean Cycle Complete,11/30 11:20 am,-
Clean Cycle In Progress,11/30 11:17 am,-
Weight recorded,11/30 11:10 am,19.2 lbs
Cat detected,11/30 11:10 am,-
Clean Cycle Complete,11/30 10:43 am,-
Clean Cycle In Progress,11/30 10:41 am,-
Weight recorded,11/30 10:34 am,10.5 lbs
Cat detected,11/30 10:33 am,-
Clean Cycle Complete,11/30 4:06 am,-
Clean Cycle In Progress,11/30 4:03 am,-
Weight recorded,11/30 3:56 am,10.3 lbs
Cat detected,11/30 3:56 am,-
Clean Cycle Complete,11/30 12:38 am,-
Clean Cycle In Progress,11/30 12:36 am,-
Weight recorded,11/30 12:29 am,15.1 lbs
Cat detected,11/30 12:28 am,-
Clean Cycle Complete,11/30 12:26 am,-
Clean Cycle In Progress,11/30 12:23 am,-
Weight recorded,11/30 12:16 am,10.4 lbs
Cat detected,11/30 12:16 am,-
Clean Cycle Complete,11/30 12:10 am,-
Clean Cycle In Progress,11/30 12:08 am,-
Weight recorded,11/30 12:01 am,10.2 lbs
Cat detected,11/30 12:00 am,-
Clean Cycle Complete,11/29 2:51 pm,-
Clean Cycle In Progress,11/29 2:49 pm,-
Weight recorded,11/29 2:42 pm,15.1 lbs
Cat detected,11/29 2:40 pm,-
