Activity,Timestamp,Value
Clean Cycle Complete,6/10 at 8:22 PM,-
Clean Cycle In Progress,6/10 at 8:20 PM,-
Weight recorded,6/10 at 8:13 PM,18.9 lbs
Cat detected,6/10 at 8:13 PM,-
Clean Cycle Complete,6/10 at 6:44 PM,-
Clean Cycle In Progress,6/10 at 6:42 PM,-
Cat detected,6/10 at 6:42 PM,-
Clean Cycle Complete,6/10 at 6:39 PM,-
Clean Cycle In Progress,6/10 at 6:37 PM,-
Weight recorded,6/10 at 6:35 PM,11.1 lbs
Cat detected,6/10 at 6:34 PM,-
Clean Cycle Complete,6/10 at 6:29 PM,-
Clean Cycle In Progress,6/10 at 6:27 PM,-
Weight recorded,6/10 at 6:20 PM,15.4 lbs
Cat detected,6/10 at 6:19 PM,-
Clean Cycle Complete,6/10 at 8:56 AM,-
Clean Cycle In Progress,6/10 at 8:54 AM,-
Weight recorded,6/10 at 8:47 AM,15.7 lbs
Cat detected,6/10 at 8:46 AM,-
Clean Cycle Complete,6/10 at 3:40 AM,-
Clean Cycle In Progress,6/10 at 3:38 AM,-
Cat detected,6/10 at 3:31 AM,-
Clean Cycle Complete,6/9 at 9:45 PM,-
Clean Cycle In Progress,6/9 at 9:43 PM,-
Weight recorded,6/9 at 9:36 PM,19.6 lbs
Cat detected,6/9 at 9:35 PM,-
Clean Cycle Complete,6/9 at 8:13 PM,-
Clean Cycle In Progress,6/9 at 8:11 PM,-
Weight recorded,6/9 at 8:04 PM,11.4 lbs
Cat detected,6/9 at 8:01 PM,-
Clean Cycle Complete,6/9 at 10:48 AM,-
Clean Cycle In Progress,6/9 at 10:46 AM,-
Cat detected,6/9 at 10:15 AM,-
Clean Cycle Complete,6/9 at 7:30 AM,-
Clean Cycle In Progress,6/9 at 7:28 AM,-
Weight recorded,6/9 at 7:21 AM,19.0 lbs
Cat detected,6/9 at 7:20 AM,-
Clean Cycle Complete,6/9 at 4:30 AM,-
Clean Cycle In Progress,6/9 at 4:28 AM,-
Weight recorded,6/9 at 4:21 AM,11.0 lbs
Cat detected,6/9 at 4:20 AM,-
Clean Cycle Complete,6/8 at 10:00 PM,-
Clean Cycle In Progress,6/8 at 9:58 PM,-
Weight recorded,6/8 at 9:45 PM,19.8 lbs
Cat detected,6/8 at 9:44 PM,-
Clean Cycle Complete,6/8 at 7:38 PM,-
Clean Cycle In Progress,6/8 at 7:36 PM,-
Cat detected,6/8 at 7:24 PM,-
Clean Cycle Complete,6/8 at 5:54 AM,-
Clean Cycle In Progress,6/8 at 5:52 AM,-
Weight recorded,6/8 at 5:45 AM,11.2 lbs
Cat detected,6/8 at 5:43 AM,-
Clean Cycle Complete,6/8 at 1:19 AM,-
Clean Cycle In Progress,6/8 at 1:17 AM,-
Weight recorded,6/8 at 1:08 AM,18.7 lbs
Cat detected,6/8 at 1:07 AM,-
Clean Cycle Complete,6/7 at 6:28 AM,-
Clean Cycle In Progress,6/7 at 6:25 AM,-
Weight recorded,6/7 at 6:18 AM,15.7 lbs
Cat detected,6/7 at 6:17 AM,-
Clean Cycle Complete,6/7 at 5:57 AM,-
Clean Cycle In Progress,6/7 at 5:55 AM,-
Weight recorded,6/7 at 5:48 AM,11.1 lbs
Cat detected,6/7 at 5:47 AM,-
Clean Cycle Complete,6/7 at 12:03 AM,-
Cycle interrupted,6/7 at 12:02 AM,-
Clean Cycle In Progress,6/7 at 12:01 AM,-
Weight recorded,6/6 at 11:47 PM,18.7 lbs
Cat detected,6/6 at 11:46 PM,-
Clean Cycle Complete,6/6 at 6:28 PM,-
Clean Cycle In Progress,6/6 at 6:25 PM,-
Weight recorded,6/6 at 6:18 PM,15.6 lbs
Cat detected,6/6 at 6:17 PM,-
Clean Cycle Complete,6/6 at 9:08 AM,-
Clean Cycle In Progress,6/6 at 9:06 AM,-
Cat detected,6/6 at 8:59 AM,-
Clean Cycle Complete,6/6 at 8:29 AM,-
Clean Cycle In Progress,6/6 at 8:27 AM,-
Weight recorded,6/6 at 8:20 AM,11.1 lbs
Cat detected,6/6 at 8:18 AM,-
Clean Cycle Complete,6/6 at 1:15 AM,-
Clean Cycle In Progress,6/6 at 1:13 AM,-
Weight recorded,6/6 at 1:06 AM,18.4 lbs
Cat detected,6/6 at 1:04 AM,-
Clean Cycle Complete,6/5 at 9:59 PM,-
Clean Cycle In Progress,6/5 at 9:56 PM,-
Weight recorded,6/5 at 9:49 PM,18.4 lbs
Cat detected,6/5 at 9:49 PM,-
Clean Cycle Complete,6/5 at 7:25 AM,-
Clean Cycle In Progress,6/5 at 7:23 AM,-
Weight recorded,6/5 at 7:16 AM,11.3 lbs
Cat detected,6/5 at 7:15 AM,-
Clean Cycle Complete,6/5 at 7:14 AM,-
Clean Cycle In Progress,6/5 at 7:12 AM,-
Weight recorded,6/5 at 7:05 AM,15.5 lbs
Cat detected,6/5 at 7:04 AM,-
Clean Cycle Complete,6/5 at 6:14 AM,-
Clean Cycle In Progress,6/5 at 6:12 AM,-
Cat detected,6/5 at 6:11 AM,-
Clean Cycle Complete,6/4 at 10:51 PM,-
Clean Cycle In Progress,6/4 at 10:49 PM,-
Weight recorded,6/4 at 10:42 PM,18.6 lbs
Cat detected,6/4 at 10:41 PM,-
Clean Cycle Complete,6/4 at 7:06 PM,-
Clean Cycle In Progress,6/4 at 7:04 PM,-
Weight recorded,6/4 at 6:57 PM,11.1 lbs
Cat detected,6/4 at 6:56 PM,-
Clean Cycle Complete,6/4 at 6:50 AM,-
Clean Cycle In Progress,6/4 at 6:47 AM,-
Weight recorded,6/4 at 6:40 AM,19.6 lbs
Cat detected,6/4 at 6:39 AM,-
Clean Cycle Complete,6/4 at 3:59 AM,-
Clean Cycle In Progress,6/4 at 3:57 AM,-
Weight recorded,6/4 at 3:50 AM,14.5 lbs
Cat detected,6/4 at 3:48 AM,-
Clean Cycle Complete,6/4 at 2:55 AM,-
Clean Cycle In Progress,6/4 at 2:53 AM,-
Weight recorded,6/4 at 2:46 AM,18.8 lbs
Cat detected,6/4 at 2:44 AM,-
Clean Cycle Complete,6/3 at 7:22 PM,-
Clean Cycle In Progress,6/3 at 7:20 PM,-
Weight recorded,6/3 at 7:13 PM,11.2 lbs
Cat detected,6/3 at 7:12 PM,-
Clean Cycle Complete,6/3 at 12:36 AM,-
Clean Cycle In Progress,6/3 at 12:34 AM,-
Weight recorded,6/3 at 12:27 AM,11.1 lbs
Cat detected,6/3 at 12:25 AM,-
