Activity,Timestamp,Value
Clean Cycle Complete,5/28 7:21 am,-
Cycle interrupted,5/28 7:19 am,-
Clean Cycle In Progress,5/28 7:18 am,-
Weight recorded,5/28 7:11 am,15.6 lbs
Cat detected,5/28 7:09 am,-
Clean Cycle Complete,5/28 4:36 am,-
Clean Cycle In Progress,5/28 4:34 am,-
Weight recorded,5/28 4:27 am,10.9 lbs
Cat detected,5/28 4:26 am,-
Clean Cycle Complete,5/28 4:14 am,-
Cycle interrupted,5/28 4:12 am,-
Clean Cycle In Progress,5/28 4:11 am,-
Weight recorded,5/28 4:04 am,11.2 lbs
Cat detected,5/28 4:02 am,-
Clean Cycle Complete,5/27 6:21 pm,-
Clean Cycle In Progress,5/27 6:18 pm,-
Weight recorded,5/27 6:11 pm,15.7 lbs
Cat detected,5/27 6:11 pm,-
Clean Cycle Complete,5/27 3:26 am,-
Clean Cycle In Progress,5/27 3:24 am,-
Weight recorded,5/27 3:17 am,15.1 lbs
Weight recorded,5/27 3:16 am,15.5 lbs
Cat detected,5/27 3:15 am,-
Clean Cycle Complete,5/26 9:45 pm,-
Clean Cycle In Progress,5/26 9:42 pm,-
Weight recorded,5/26 9:35 pm,19.1 lbs
Cat detected,5/26 9:34 pm,-
Clean Cycle Complete,5/26 7:33 am,-
Clean Cycle In Progress,5/26 7:31 am,-
Weight recorded,5/26 7:24 am,15.5 lbs
Cat detected,5/26 7:23 am,-
Clean Cycle Complete,5/25 7:07 pm,-
Clean Cycle In Progress,5/25 7:04 pm,-
Weight recorded,5/25 6:57 pm,15.3 lbs
Cat detected,5/25 6:57 pm,-
Clean Cycle Complete,5/25 4:27 pm,-
Clean Cycle In Progress,5/25 4:24 pm,-
Clean Cycle Complete,5/25 6:11 am,-
Clean Cycle In Progress,5/25 6:08 am,-
Weight recorded,5/25 6:01 am,10.6 lbs
Cat detected,5/25 6:00 am,-
Clean Cycle Complete,5/25 5:04 am,-
Clean Cycle In Progress,5/25 5:02 am,-
Weight recorded,5/25 4:55 am,15.3 lbs
Cat detected,5/25 4:54 am,-
Clean Cycle Complete,5/24 5:12 pm,-
Clean Cycle In Progress,5/24 5:10 pm,-
Weight recorded,5/24 5:03 pm,15.2 lbs
Cat detected,5/24 5:02 pm,-
Clean Cycle Complete,5/24 3:08 pm,-
Clean Cycle In Progress,5/24 3:06 pm,-
Clean Cycle Complete,5/24 3:50 am,-
Clean Cycle In Progress,5/24 3:48 am,-
Weight recorded,5/24 3:41 am,15.4 lbs
Cat detected,5/24 3:40 am,-
Clean Cycle Complete,5/23 4:19 pm,-
Clean Cycle In Progress,5/23 4:16 pm,-
Weight recorded,5/23 4:09 pm,15.6 lbs
Cat detected,5/23 4:08 pm,-
Clean Cycle Complete,5/23 9:44 am,-
Clean Cycle In Progress,5/23 9:42 am,-
Clean Cycle Complete,5/22 7:27 am,-
Clean Cycle In Progress,5/22 7:25 am,-
Weight recorded,5/22 7:18 am,11.2 lbs
Cat detected,5/22 7:17 am,-
Clean Cycle Complete,5/22 1:41 am,-
Clean Cycle In Progress,5/22 1:39 am,-
Weight recorded,5/22 1:32 am,18.5 lbs
Cat detected,5/22 1:31 am,-
Clean Cycle Complete,5/21 7:25 pm,-
Cycle interrupted,5/21 7:23 pm,-
Clean Cycle In Progress,5/21 7:22 pm,-
Cat detected,5/21 6:52 am,-
Clean Cycle Complete,5/21 6:51 am,-
Cycle interrupted,5/21 6:50 am,-
Clean Cycle In Progress,5/21 6:49 am,-
Clean Cycle Complete,5/21 3:10 am,-
Clean Cycle In Progress,5/21 3:08 am,-
Weight recorded,5/21 3:01 am,15.2 lbs
Cat detected,5/21 3:01 am,-
Clean Cycle Complete,5/20 7:32 pm,-
Clean Cycle In Progress,5/20 7:29 pm,-
Weight recorded,5/20 7:22 pm,15.6 lbs
Cat detected,5/20 7:21 pm,-
Clean Cycle Complete,5/20 10:05 am,-
Clean Cycle In Progress,5/20 10:02 am,-
Weight recorded,5/20 9:55 am,10.5 lbs
Cat detected,5/20 9:54 am,-
Clean Cycle Complete,5/19 10:17 am,-
Clean Cycle In Progress,5/19 10:15 am,-
Weight recorded,5/19 10:08 am,15.1 lbs
Weight recorded,5/19 10:00 am,10.9 lbs
Cat detected,5/19 9:59 am,-
Clean Cycle Complete,5/19 3:28 am,-
Clean Cycle In Progress,5/19 3:26 am,-
Cat detected,5/19 3:18 am,-
Clean Cycle Complete,5/19 3:10 am,-
Clean Cycle In Progress,5/19 3:07 am,-
Weight recorded,5/19 3:00 am,18.6 lbs
Cat detected,5/19 3:00 am,-
Clean Cycle Complete,5/18 7:17 pm,-
Clean Cycle In Progress,5/18 7:15 pm,-
Cat detected,5/18 7:11 pm,-
Clean Cycle Complete,5/18 3:03 am,-
Clean Cycle In Progress,5/18 3:01 am,-
Weight recorded,5/18 2:54 am,15.6 lbs
Cat detected,5/18 2:53 am,-
Clean Cycle Complete,5/17 8:38 pm,-
Clean Cycle In Progress,5/17 8:36 pm,-
Weight recorded,5/17 8:29 pm,18.8 lbs
Cat detected,5/17 8:28 pm,-
Clean Cycle Complete,5/17 5:18 pm,-
Clean Cycle In Progress,5/17 5:16 pm,-
Clean Cycle Complete,5/17 10:41 am,-
Clean Cycle In Progress,5/17 10:39 am,-
Weight recorded,5/17 10:32 am,15.6 lbs
Cat detected,5/17 10:31 am,-
Clean Cycle Complete,5/17 6:25 am,-
Clean Cycle In Progress,5/17 6:23 am,-
Weight recorded,5/17 6:16 am,10.8 lbs
Cat detected,5/17 6:14 am,-
Clean Cycle Complete,5/17 1:40 am,-
Clean Cycle In Progress,5/17 1:38 am,-
Weight recorded,5/17 1:31 am,15.3 lbs
Cat detected,5/17 1:30 am,-
Clean Cycle Complete,5/16 4:20 pm,-
Clean Cycle In Progress,5/16 4:17 pm,-
Clean Cycle Complete,5/16 8:35 am,-
Cycle interrupted,5/16 8:34 am,-
Clean Cycle In Progress,5/16 8:33 am,-
Weight recorded,5/16 8:26 am,16.3 lbs
Cat detected,5/16 8:24 am,-
Clean Cycle Complete,5/16 6:10 am,-
Clean Cycle In Progress,5/16 6:08 am,-
Weight recorded,5/16 6:01 am,11.2 lbs
Cat detected,5/16 5:59 am,-
Clean Cycle Complete,5/16 12:56 am,-
Clean Cycle In Progress,5/16 12:54 am,-
Weight recorded,5/16 12:47 am,11.1 lbs
Cat detected,5/16 12:46 am,-
Clean Cycle Complete,5/15 10:02 am,-
Clean Cycle In Progress,5/15 10:00 am,-
Weight recorded,5/15 9:53 am,11.2 lbs
Cat detected,5/15 9:52 am,-
Clean Cycle Complete,5/15 3:30 am,-
Clean Cycle In Progress,5/15 3:27 am,-
Weight recorded,5/15 3:20 am,15.3 lbs
Cat detected,5/15 3:19 am,-
Clean Cycle Complete,5/14 6:39 am,-
Clean Cycle In Progress,5/14 6:37 am,-
Cat detected,5/14 6:29 am,-
Clean Cycle Complete,5/14 1:33 am,-
Clean Cycle In Progress,5/14 1:30 am,-
Cat detected,5/14 1:23 am,-
Clean Cycle Complete,5/13 8:00 am,-
Clean Cycle In Progress,5/13 7:57 am,-
Weight recorded,5/13 7:50 am,15.3 lbs
Cat detected,5/13 7:49 am,-
Clean Cycle Complete,5/13 6:42 am,-
Cycle interrupted,5/13 6:39 am,-
Clean Cycle In Progress,5/13 6:38 am,-
Weight recorded,5/13 6:32 am,15.0 lbs
