Activity,Timestamp,Value
Clean Cycle Complete,5/28 7:08 am,-
Cycle interrupted,5/28 7:07 am,-
Clean Cycle In Progress,5/28 7:06 am,-
Weight recorded,5/28 6:59 am,15.5 lbs
Cat detected,5/28 6:59 am,-
Clean Cycle Complete,5/28 3:54 am,-
Clean Cycle In Progress,5/28 3:51 am,-
Weight recorded,5/28 3:44 am,18.8 lbs
Cat detected,5/28 3:44 am,-
Clean Cycle Complete,5/28 12:49 am,-
Cycle interrupted,5/28 12:48 am,-
Clean Cycle In Progress,5/28 12:47 am,-
Cat detected,5/28 12:40 am,-
Clean Cycle Complete,5/27 7:21 pm,-
Clean Cycle In Progress,5/27 7:19 pm,-
Weight recorded,5/27 7:12 pm,11.1 lbs
Cat detected,5/27 7:11 pm,-
Clean Cycle Complete,5/27 7:03 pm,-
Clean Cycle In Progress,5/27 7:01 pm,-
Weight recorded,5/27 6:54 pm,19.0 lbs
Cat detected,5/27 6:53 pm,-
Clean Cycle Complete,5/27 5:33 am,-
Clean Cycle In Progress,5/27 5:30 am,-
Weight recorded,5/27 5:23 am,11.0 lbs
Cat detected,5/27 5:22 am,-
Clean Cycle Complete,5/27 3:13 am,-
Clean Cycle In Progress,5/27 3:11 am,-
Weight recorded,5/27 3:04 am,11.0 lbs
Cat detected,5/27 3:03 am,-
Clean Cycle Complete,5/26 9:40 pm,-
Clean Cycle In Progress,5/26 9:38 pm,-
Weight recorded,5/26 9:28 pm,19.1 lbs
Cat detected,5/26 9:27 pm,-
Clean Cycle Complete,5/26 7:34 am,-
Clean Cycle In Progress,5/26 7:32 am,-
Weight recorded,5/26 7:25 am,15.7 lbs
Cat detected,5/26 7:23 am,-
Clean Cycle Complete,5/26 4:40 am,-
Clean Cycle In Progress,5/26 4:38 am,-
Weight recorded,5/26 4:31 am,10.9 lbs
Cat detected,5/26 4:30 am,-
Clean Cycle Complete,5/25 9:18 pm,-
Clean Cycle In Progress,5/25 9:16 pm,-
Weight recorded,5/25 9:09 pm,19.0 lbs
Cat detected,5/25 9:08 pm,-
Clean Cycle Complete,5/25 7:05 pm,-
Clean Cycle In Progress,5/25 7:03 pm,-
Weight recorded,5/25 6:56 pm,19.1 lbs
Cat detected,5/25 6:55 pm,-
Clean Cycle Complete,5/25 6:35 pm,-
Clean Cycle In Progress,5/25 6:33 pm,-
Weight recorded,5/25 6:26 pm,11.1 lbs
Cat detected,5/25 6:25 pm,-
Clean Cycle Complete,5/25 4:27 pm,-
Clean Cycle In Progress,5/25 4:25 pm,-
Clean Cycle Complete,5/25 5:03 am,-
Clean Cycle In Progress,5/25 5:01 am,-
Weight recorded,5/25 4:54 am,15.7 lbs
Cat detected,5/25 4:53 am,-
Clean Cycle Complete,5/25 2:16 am,-
Clean Cycle In Progress,5/25 2:14 am,-
Weight recorded,5/25 2:07 am,11.0 lbs
Weight recorded,5/25 2:06 am,18.9 lbs
Cat detected,5/25 2:05 am,-
Clean Cycle Complete,5/25 12:34 am,-
Clean Cycle In Progress,5/25 12:31 am,-
Weight recorded,5/25 12:24 am,18.9 lbs
Cat detected,5/25 12:24 am,-
Clean Cycle Complete,5/24 3:08 pm,-
Clean Cycle In Progress,5/24 3:06 pm,-
Clean Cycle Complete,5/24 6:14 am,-
Clean Cycle In Progress,5/24 6:12 am,-
Weight recorded,5/24 6:05 am,10.9 lbs
Cat detected,5/24 6:04 am,-
Clean Cycle Complete,5/24 1:36 am,-
Cycle interrupted,5/24 1:35 am,-
Clean Cycle In Progress,5/24 1:34 am,-
Weight recorded,5/24 1:27 am,18.9 lbs
Cat detected,5/24 1:26 am,-
Clean Cycle Complete,5/23 8:46 pm,-
Clean Cycle In Progress,5/23 8:44 pm,-
Weight recorded,5/23 8:37 pm,19.1 lbs
Cat detected,5/23 8:36 pm,-
Clean Cycle Complete,5/23 9:40 am,-
Clean Cycle In Progress,5/23 9:38 am,-
Clean Cycle Complete,5/22 4:50 am,-
Clean Cycle In Progress,5/22 4:47 am,-
Weight recorded,5/22 4:40 am,18.8 lbs
Cat detected,5/22 4:40 am,-
Clean Cycle Complete,5/22 3:39 am,-
Clean Cycle In Progress,5/22 3:37 am,-
Weight recorded,5/22 3:30 am,15.6 lbs
Cat detected,5/22 3:29 am,-
Clean Cycle Complete,5/21 7:24 pm,-
Clean Cycle In Progress,5/21 7:21 pm,-
Clean Cycle Complete,5/21 6:44 pm,-
Clean Cycle In Progress,5/21 6:42 pm,-
Weight recorded,5/21 6:35 pm,10.8 lbs
Cat detected,5/21 6:34 pm,-
Clean Cycle Complete,5/21 11:56 am,-
Clean Cycle In Progress,5/21 11:54 am,-
Weight recorded,5/21 11:47 am,15.7 lbs
Cat detected,5/21 11:46 am,-
Clean Cycle Complete,5/21 7:33 am,-
Clean Cycle In Progress,5/21 7:31 am,-
Weight recorded,5/21 7:24 am,10.9 lbs
Cat detected,5/21 7:23 am,-
Clean Cycle Complete,5/21 6:55 am,-
Clean Cycle In Progress,5/21 6:53 am,-
Clean Cycle Complete,5/21 6:52 am,-
Clean Cycle In Progress,5/21 6:49 am,-
Clean Cycle Complete,5/21 3:25 am,-
Clean Cycle In Progress,5/21 3:23 am,-
Cat detected,5/21 3:15 am,-
Clean Cycle Complete,5/21 1:42 am,-
Clean Cycle In Progress,5/21 1:40 am,-
Weight recorded,5/21 1:33 am,19.0 lbs
Cat detected,5/21 1:31 am,-
Clean Cycle Complete,5/21 12:25 am,-
Clean Cycle In Progress,5/21 12:23 am,-
Cat detected,5/21 12:12 am,-
Clean Cycle Complete,5/20 11:25 pm,-
Cycle interrupted,5/20 11:20 pm,-
Cycle interrupted,5/20 11:12 pm,-
Clean Cycle In Progress,5/20 11:11 pm,-
Weight recorded,5/20 11:04 pm,19.2 lbs
Cat detected,5/20 11:03 pm,-
Clean Cycle Complete,5/20 10:03 am,-
Clean Cycle In Progress,5/20 10:01 am,-
Weight recorded,5/20 9:54 am,10.8 lbs
