Activity,Timestamp,Value
Weight recorded,1/31 9:44 am,14.9 lbs
Cat detected,1/31 9:43 am,-
Clean Cycle Complete,1/30 6:28 am,-
Clean Cycle In Progress,1/30 6:26 am,-
Weight recorded,1/30 6:19 am,19.0 lbs
Cat detected,1/30 6:18 am,-
Clean Cycle Complete,1/30 5:59 am,-
Clean Cycle In Progress,1/30 5:57 am,-
Weight recorded,1/30 5:50 am,10.8 lbs
Cat detected,1/30 5:48 am,-
Clean Cycle Complete,1/30 3:48 am,-
Clean Cycle In Progress,1/30 3:46 am,-
Weight recorded,1/30 3:39 am,14.8 lbs
Cat detected,1/30 3:38 am,-
Clean Cycle Complete,1/29 6:38 pm,-
Clean Cycle In Progress,1/29 6:35 pm,-
Weight recorded,1/29 6:28 pm,15.1 lbs
Cat detected,1/29 6:28 pm,-
Clean Cycle Complete,1/29 6:06 pm,-
Clean Cycle In Progress,1/29 6:04 pm,-
Weight recorded,1/29 5:57 pm,10.8 lbs
Cat detected,1/29 5:56 pm,-
Clean Cycle Complete,1/29 1:33 pm,-
Clean Cycle In Progress,1/29 1:31 pm,-
Weight recorded,1/29 1:24 pm,14.9 lbs
Cat detected,1/29 1:23 pm,-
Clean Cycle Complete,1/29 10:43 am,-
Clean Cycle In Progress,1/29 10:40 am,-
Cat detected,1/29 10:33 am,-
Clean Cycle Complete,1/29 5:48 am,-
Clean Cycle In Progress,1/29 5:46 am,-
Weight recorded,1/29 5:39 am,10.8 lbs
Cat detected,1/29 5:38 am,-
Clean Cycle Complete,1/29 4:15 am,-
Clean Cycle In Progress,1/29 4:13 am,-
Weight recorded,1/29 4:06 am,10.8 lbs
Cat detected,1/29 4:05 am,-
Clean Cycle Complete,1/28 10:38 pm,-
Clean Cycle In Progress,1/28 10:36 pm,-
Weight recorded,1/28 10:29 pm,19.0 lbs
Cat detected,1/28 10:28 pm,-
Clean Cycle Complete,1/28 6:05 pm,-
Clean Cycle In Progress,1/28 6:03 pm,-
Weight recorded,1/28 5:56 pm,14.7 lbs
Cat detected,1/28 5:55 pm,-
Clean Cycle Complete,1/28 7:07 am,-
Clean Cycle In Progress,1/28 7:05 am,-
Cat detected,1/28 6:58 am,-
Clean Cycle Complete,1/28 6:04 am,-
Clean Cycle In Progress,1/28 6:01 am,-
Weight recorded,1/28 5:54 am,11.0 lbs
Cat detected,1/28 5:53 am,-
Clean Cycle Complete,1/28 1:39 am,-
Cycle interrupted,1/28 1:37 am,-
Clean Cycle In Progress,1/28 1:36 am,-
Weight recorded,1/28 1:29 am,19.0 lbs
Cat detected,1/28 1:29 am,-
Clean Cycle Complete,1/27 10:33 am,-
Clean Cycle In Progress,1/27 10:30 am,-
Weight recorded,1/27 10:23 am,14.9 lbs
Cat detected,1/27 10:22 am,-
Clean Cycle Complete,1/27 12:52 am,-
Clean Cycle In Progress,1/27 12:49 am,-
Weight recorded,1/27 12:42 am,19.2 lbs
Cat detected,1/27 12:41 am,-
Clean Cycle Complete,1/26 10:07 am,-
Clean Cycle In Progress,1/26 10:05 am,-
Weight recorded,1/26 9:58 am,15.1 lbs
Cat detected,1/26 9:57 am,-
Clean Cycle Complete,1/25 9:25 pm,-
Clean Cycle In Progress,1/25 9:23 pm,-
Weight recorded,1/25 9:16 pm,10.8 lbs
Cat detected,1/25 9:15 pm,-
Clean Cycle Complete,1/25 6:25 pm,-
Clean Cycle In Progress,1/25 6:23 pm,-
Weight recorded,1/25 6:16 pm,10.8 lbs
Cat detected,1/25 6:15 pm,-
Clean Cycle Complete,1/25 6:00 pm,-
Clean Cycle In Progress,1/25 5:57 pm,-
Weight recorded,1/25 5:50 pm,14.9 lbs
Cat detected,1/25 5:50 pm,-
Clean Cycle Complete,1/25 10:49 am,-
Clean Cycle In Progress,1/25 10:47 am,-
Weight recorded,1/25 10:40 am,15.0 lbs
Cat detected,1/25 10:39 am,-
Clean Cycle Complete,1/25 4:08 am,-
Clean Cycle In Progress,1/25 4:05 am,-
Weight recorded,1/25 3:58 am,14.9 lbs
Cat detected,1/25 3:57 am,-
Clean Cycle Complete,1/24 10:17 pm,-
Clean Cycle In Progress,1/24 10:15 pm,-
Weight recorded,1/24 10:08 pm,10.6 lbs
Cat detected,1/24 10:07 pm,-
Clean Cycle Complete,1/24 2:03 am,-
Clean Cycle In Progress,1/24 2:01 am,-
Weight recorded,1/24 1:54 am,19.1 lbs
Cat detected,1/24 1:53 am,-
Clean Cycle Complete,1/23 12:14 pm,-
Clean Cycle In Progress,1/23 12:12 pm,-
Weight recorded,1/23 12:05 pm,14.9 lbs
Cat detected,1/23 12:04 pm,-
Clean Cycle Complete,1/23 7:35 am,-
Cycle interrupted,1/23 7:33 am,-
Clean Cycle In Progress,1/23 7:32 am,-
Weight recorded,1/23 7:25 am,10.7 lbs
Cat detected,1/23 7:24 am,-
Clean Cycle Complete,1/23 2:54 am,-
Clean Cycle In Progress,1/23 2:52 am,-
Weight recorded,1/23 2:45 am,18.7 lbs
Cat detected,1/23 2:44 am,-
Clean Cycle Complete,1/22 4:23 pm,-
Cycle interrupted,1/22 4:21 pm,-
Clean Cycle In Progress,1/22 4:20 pm,-
Weight recorded,1/22 4:13 pm,14.8 lbs
Cat detected,1/22 4:12 pm,-
Clean Cycle Complete,1/22 7:00 am,-
Clean Cycle In Progress,1/22 6:58 am,-
Weight recorded,1/22 6:51 am,10.7 lbs
Cat detected,1/22 6:49 am,-
Clean Cycle Complete,1/22 5:07 am,-
Clean Cycle In Progress,1/22 5:04 am,-
Weight recorded,1/22 4:58 am,14.8 lbs
Cat detected,1/22 4:57 am,-
Clean Cycle Complete,1/21 5:54 pm,-
Clean Cycle In Progress,1/21 5:52 pm,-
Weight recorded,1/21 5:45 pm,15.0 lbs
Cat detected,1/21 5:44 pm,-
Clean Cycle Complete,1/20 7:28 pm,-
Clean Cycle In Progress,1/20 7:26 pm,-
Weight recorded,1/20 7:19 pm,14.9 lbs
Cat detected,1/20 7:17 pm,-
Clean Cycle Complete,1/20 6:25 pm,-
Clean Cycle In Progress,1/20 6:23 pm,-
Weight recorded,1/20 6:16 pm,10.6 lbs
Cat detected,1/20 6:15 pm,-
Clean Cycle Complete,1/20 4:23 pm,-
Clean Cycle In Progress,1/20 4:21 pm,-
Weight recorded,1/20 4:14 pm,15.0 lbs
Cat detected,1/20 4:13 pm,-
Clean Cycle Complete,1/20 8:13 am,-
Clean Cycle In Progress,1/20 8:11 am,-
Weight recorded,1/20 8:04 am,10.8 lbs
Cat detected,1/20 8:02 am,-
Clean Cycle Complete,1/19 6:36 pm,-
Clean Cycle In Progress,1/19 6:34 pm,-
Cat detected,1/19 6:34 pm,-
Clean Cycle Complete,1/19 5:55 pm,-
Clean Cycle In Progress,1/19 5:53 pm,-
Weight recorded,1/19 5:46 pm,15.1 lbs
Cat detected,1/19 5:45 pm,-
Clean Cycle Complete,1/19 5:41 pm,-
Clean Cycle In Progress,1/19 5:38 pm,-
Weight recorded,1/19 5:31 pm,10.7 lbs
Weight recorded,1/19 5:28 pm,19.1 lbs
Cat detected,1/19 5:28 pm,-
Clean Cycle Complete,1/19 8:57 am,-
Clean Cycle In Progress,1/19 8:55 am,-
Weight recorded,1/19 8:48 am,14.9 lbs
Cat detected,1/19 8:47 am,-
Clean Cycle Complete,1/19 4:01 am,-
Clean Cycle In Progress,1/19 3:58 am,-
Weight recorded,1/19 3:51 am,10.7 lbs
Cat detected,1/19 3:50 am,-
Clean Cycle Complete,1/18 5:46 pm,-
Clean Cycle In Progress,1/18 5:43 pm,-
Weight recorded,1/18 5:36 pm,14.8 lbs
