Activity,Timestamp,Value
Clean Cycle Complete,12/1 12:05 pm,-
Clean Cycle In Progress,12/1 12:03 pm,-
Weight recorded,12/1 11:56 am,10.3 lbs
Cat detected,12/1 11:55 am,-
Clean Cycle Complete,12/1 12:56 am,-
Clean Cycle In Progress,12/1 12:53 am,-
Weight recorded,12/1 12:46 am,10.4 lbs
Weight recorded,12/1 12:42 am,14.9 lbs
Cat detected,12/1 12:41 am,-
Clean Cycle Complete,11/30 3:32 pm,-
Clean Cycle In Progress,11/30 3:30 pm,-
Weight recorded,11/30 3:23 pm,10.3 lbs
Cat detected,11/30 3:22 pm,-
Clean Cycle Complete,11/30 12:50 pm,-
Clean Cycle In Progress,11/30 12:48 pm,-
Weight recorded,11/30 12:41 pm,14.8 lbs
Cat detected,11/30 12:40 pm,-
Clean Cycle Complete,11/30 4:07 am,-
Clean Cycle In Progress,11/30 4:05 am,-
Weight recorded,11/30 3:58 am,10.3 lbs
Cat detected,11/30 3:57 am,-
Clean Cycle Complete,11/29 3:05 pm,-
Clean Cycle In Progress,11/29 3:03 pm,-
Weight recorded,11/29 2:56 pm,10.3 lbs
Cat detected,11/29 2:55 pm,-
Clean Cycle Complete,11/29 10:07 am,-
Clean Cycle In Progress,11/29 10:05 am,-
Weight recorded,11/29 9:58 am,10.3 lbs
Cat detected,11/29 9:57 am,-
Clean Cycle Complete,11/29 2:43 am,-
Clean Cycle In Progress,11/29 2:41 am,-
Weight recorded,11/29 2:34 am,14.9 lbs
Cat detected,11/29 2:33 am,-
Clean Cycle Complete,11/28 2:22 pm,-
Clean Cycle In Progress,11/28 2:20 pm,-
Weight recorded,11/28 2:13 pm,10.2 lbs
Cat detected,11/28 2:12 pm,-
Clean Cycle Complete,11/27 11:11 pm,-
Clean Cycle In Progress,11/27 11:09 pm,-
Clean Cycle Complete,11/27 2:32 am,-
Clean Cycle In Progress,11/27 2:29 am,-
Weight recorded,11/27 2:22 am,10.2 lbs
Cat detected,11/27 2:21 am,-
Clean Cycle Complete,11/26 2:04 am,-
Clean Cycle In Progress,11/26 2:02 am,-
Weight recorded,11/26 1:55 am,10.3 lbs
Cat detected,11/26 1:54 am,-
Clean Cycle Complete,11/25 11:01 am,-
Clean Cycle In Progress,11/25 10:59 am,-
Weight recorded,11/25 10:52 am,19.1 lbs
Cat detected,11/25 10:52 am,-
Clean Cycle Complete,11/25 2:41 am,-
Clean Cycle In Progress,11/25 2:39 am,-
Weight recorded,11/25 2:32 am,10.1 lbs
Cat detected,11/25 2:31 am,-
Clean Cycle Complete,11/24 1:58 pm,-
Clean Cycle In Progress,11/24 1:56 pm,-
Weight recorded,11/24 1:49 pm,15.3 lbs
Cat detected,11/24 1:48 pm,-
Clean Cycle Complete,11/24 9:54 am,-
Clean Cycle In Progress,11/24 9:52 am,-
Weight recorded,11/24 9:45 am,15.0 lbs
Weight recorded,11/24 9:40 am,19.0 lbs
Cat detected,11/24 9:39 am,-
Clean Cycle Complete,11/24 4:36 am,-
Clean Cycle In Progress,11/24 4:34 am,-
Weight recorded,11/24 4:27 am,10.2 lbs
Cat detected,11/24 4:25 am,-
Clean Cycle Complete,11/24 2:29 am,-
Clean Cycle In Progress,11/24 2:27 am,-
Weight recorded,11/24 2:20 am,15.1 lbs
Cat detected,11/24 2:19 am,-
Clean Cycle Complete,11/23 3:16 am,-
Clean Cycle In Progress,11/23 3:14 am,-
Weight recorded,11/23 3:07 am,10.2 lbs
Cat detected,11/23 3:05 am,-
Clean Cycle Complete,11/23 2:19 am,-
Clean Cycle In Progress,11/23 2:17 am,-
Weight recorded,11/23 2:09 am,10.2 lbs
Cat detected,11/23 2:09 am,-
Clean Cycle Complete,11/22 3:56 pm,-
Clean Cycle In Progress,11/22 3:54 pm,-
Weight recorded,11/22 3:47 pm,15.1 lbs
Cat detected,11/22 3:45 pm,-
Clean Cycle Complete,11/22 12:28 pm,-
Clean Cycle In Progress,11/22 12:26 pm,-
Weight recorded,11/22 12:19 pm,14.9 lbs
Cat detected,11/22 12:18 pm,-
Clean Cycle Complete,11/22 4:04 am,-
Clean Cycle In Progress,11/22 4:01 am,-
Weight recorded,11/22 3:54 am,10.2 lbs
Cat detected,11/22 3:53 am,-
Clean Cycle Complete,11/21 11:27 pm,-
Clean Cycle In Progress,11/21 11:25 pm,-
Weight recorded,11/21 11:18 pm,15.1 lbs
Cat detected,11/21 11:16 pm,-
Clean Cycle Complete,11/21 5:27 pm,-
Clean Cycle In Progress,11/21 5:24 pm,-
Clean Cycle Complete,11/21 7:10 am,-
Clean Cycle In Progress,11/21 7:08 am,-
Weight recorded,11/21 7:01 am,10.2 lbs
Cat detected,11/21 6:59 am,-
Clean Cycle Complete,11/20 5:50 pm,-
Clean Cycle In Progress,11/20 5:47 pm,-
Weight recorded,11/20 5:40 pm,10.3 lbs
Cat detected,11/20 5:39 pm,-
Clean Cycle Complete,11/20 10:30 am,-
Clean Cycle In Progress,11/20 10:27 am,-
Weight recorded,11/20 10:20 am,18.9 lbs
Cat detected,11/20 10:20 am,-
Clean Cycle Complete,11/20 6:48 am,-
Clean Cycle In Progress,11/20 6:46 am,-
Weight recorded,11/20 6:39 am,10.2 lbs
Cat detected,11/20 6:38 am,-
Clean Cycle Complete,11/20 2:46 am,-
Clean Cycle In Progress,11/20 2:44 am,-
Weight recorded,11/20 2:36 am,15.2 lbs
Cat detected,11/20 2:35 am,-
Clean Cycle Complete,11/19 8:16 pm,-
Clean Cycle In Progress,11/19 8:14 pm,-
Weight recorded,11/19 8:07 pm,15.1 lbs
Cat detected,11/19 8:06 pm,-
Clean Cycle Complete,11/19 11:45 am,-
Clean Cycle In Progress,11/19 11:42 am,-
Weight recorded,11/19 11:35 am,14.9 lbs
Cat detected,11/19 11:35 am,-
Clean Cycle Complete,11/19 5:40 am,-
Clean Cycle In Progress,11/19 5:38 am,-
Weight recorded,11/19 5:31 am,19.0 lbs
Cat detected,11/19 5:30 am,-
Clean Cycle Complete,11/17 10:32 pm,-
Clean Cycle In Progress,11/17 10:30 pm,-
Weight recorded,11/17 10:23 pm,15.1 lbs
Cat detected,11/17 10:22 pm,-
Clean Cycle Complete,11/17 1:36 pm,-
Clean Cycle In Progress,11/17 1:34 pm,-
Weight recorded,11/17 1:27 pm,10.1 lbs
Cat detected,11/17 1:26 pm,-
Clean Cycle Complete,11/17 1:12 pm,-
Clean Cycle In Progress,11/17 1:09 pm,-
Weight recorded,11/17 1:02 pm,15.1 lbs
Cat detected,11/17 1:01 pm,-
Clean Cycle Complete,11/17 2:55 am,-
Clean Cycle In Progress,11/17 2:53 am,-
Weight recorded,11/17 2:46 am,10.3 lbs
Cat detected,11/17 2:44 am,-
Clean Cycle Complete,11/16 8:08 am,-
Clean Cycle In Progress,11/16 8:05 am,-
Weight recorded,11/16 7:58 am,10.2 lbs
Cat detected,11/16 7:57 am,-
Clean Cycle Complete,11/16 2:45 am,-
Clean Cycle In Progress,11/16 2:43 am,-
Weight recorded,11/16 2:36 am,15.0 lbs
Cat detected,11/16 2:35 am,-
Clean Cycle Complete,11/15 2:37 pm,-
Clean Cycle In Progress,11/15 2:35 pm,-
Weight recorded,11/15 2:28 pm,10.3 lbs
